Episode,Steps,Epsilon
825,68,0.3938544748053565
826,57,0.3934606203305512
827,56,0.3930671597102206
828,65,0.3926740925505104
829,66,0.3922814184579599
830,72,0.3918891370395019
831,66,0.3914972479024624
832,77,0.39110575065455994
833,57,0.3907146449039054
834,62,0.3903239302590015
835,88,0.38993360632874247
836,76,0.38954367272241375
837,66,0.3891541290496913
838,68,0.3887649749206416
839,76,0.388376209945721
840,57,0.3879878337357753
841,58,0.3875998459020395
842,76,0.38721224605613747
843,62,0.3868250338100813
844,63,0.3864382087762712
845,51,0.38605177056749496
846,59,0.38566571879692746
847,70,0.3852800530781305
848,61,0.3848947730250524
849,64,0.3845098782520273
850,53,0.3841253683737753
851,70,0.3837412430054015
852,77,0.38335750176239614
853,103,0.38297414426063375
854,63,0.3825911701163731
855,93,0.38220857894625676
856,64,0.3818263703673105
857,72,0.38144454399694316
858,58,0.3810630994529462
859,80,0.38068203635349324
860,59,0.38030135431713974
861,53,0.3799210529628226
862,66,0.3795411319098598
863,67,0.3791615907779499
864,61,0.378782429187172
865,69,0.3784036467579848
866,74,0.3780252431112268
867,92,0.3776472178681156
868,75,0.3772695706502475
869,58,0.37689230107959726
870,80,0.37651540877851764
871,69,0.3761388933697391
872,54,0.37576275447636936
873,77,0.375386991721893
874,56,0.3750116047301711
875,56,0.3746365931254409
876,77,0.3742619565323155
877,68,0.37388769457578314
878,64,0.37351380688120733
879,71,0.3731402930743261
880,58,0.3727671527812518
881,57,0.37239438562847055
882,54,0.3720219912428421
883,49,0.3716499692515992
884,57,0.3712783192823476
885,74,0.37090704096306526
886,46,0.3705361339221022
887,57,0.3701655977881801
888,81,0.3697954321903919
889,59,0.3694256367582015
890,61,0.3690562111214433
891,62,0.3686871549103219
892,59,0.36831846775541155
893,73,0.3679501492876561
894,63,0.3675821991383685
895,79,0.36721461693923013
896,65,0.3668474023222909
897,52,0.3664805549199686
898,60,0.36611407436504867
899,52,0.3657479602906836
900,68,0.3653822123303929
901,65,0.3650168301180625
902,83,0.36465181328794444
903,51,0.3642871614746565
904,67,0.3639228743131819
905,75,0.3635589514388687
906,67,0.3631953924874298
907,68,0.3628321970949424
908,58,0.3624693648978475
909,53,0.3621068955329496
910,82,0.36174478863741666
911,57,0.36138304384877923
912,62,0.3610216608049304
913,52,0.3606606391441255
914,65,0.36029997850498136
915,58,0.35993967852647635
916,74,0.35957973884794986
917,61,0.35922015910910193
918,60,0.3588609389499928
919,62,0.35850207801104284
920,65,0.3581435759330318
921,70,0.35778543235709875
922,71,0.35742764692474166
923,53,0.3570702192778169
924,58,0.35671314905853907
925,73,0.3563564359094805
926,56,0.35600007947357104
927,66,0.3556440793940975
928,50,0.3552884353147034
929,78,0.3549331468793887
930,60,0.3545782137325093
931,61,0.3542236355187768
932,56,0.353869411883258
933,57,0.35351554247137473
934,70,0.35316202692890336
935,57,0.35280886490197444
936,65,0.3524560560370725
937,55,0.3521035999810354
938,66,0.35175149638105435
939,73,0.3513997448846733
940,64,0.3510483451397886
941,68,0.35069729679464884
942,49,0.3503465994978542
943,65,0.34999625289835634
944,71,0.349646256645458
945,96,0.34929661038881255
946,79,0.34894731377842375
947,60,0.3485983664646453
948,56,0.34824976809818065
949,49,0.3479015183300825
950,51,0.3475536168117524
951,57,0.34720606319494063
952,80,0.3468588571317457
953,58,0.34651199827461393
954,66,0.3461654862763393
955,53,0.34581932079006295
956,68,0.34547350146927286
957,65,0.34512802796780356
958,55,0.34478289993983574
959,65,0.3444381170398959
960,63,0.344093678922856
961,67,0.3437495852439332
962,56,0.34340583565868926
963,54,0.3430624298230306
964,57,0.3427193673932076
965,62,0.34237664802581436
966,75,0.3420342713777885
967,59,0.3416922371064107
968,70,0.34135054486930433
969,49,0.34100919432443505
970,67,0.3406681851301106
971,67,0.3403275169449805
972,68,0.3399871894280355
973,97,0.3396472022386075
974,53,0.3393075550363689
975,67,0.33896824748133253
976,52,0.3386292792338512
977,68,0.3382906499546174
978,49,0.3379523593046628
979,58,0.3376144069453581
980,73,0.33727679253841275
981,59,0.33693951574587433
982,75,0.33660257623012846
983,55,0.3362659736538983
984,74,0.33592970768024444
985,90,0.3355937779725642
986,67,0.33525818419459164
987,65,0.334922926010397
988,57,0.33458800308438663
989,69,0.33425341508130224
990,65,0.33391916166622093
991,65,0.33358524250455474
992,59,0.3332516572620502
993,63,0.33291840560478814
994,58,0.33258548719918335
995,75,0.3322529017119842
996,58,0.3319206488102722
997,81,0.33158872816146195
998,65,0.3312571394333005
999,74,0.33092588229386716
